FID,anzahl_stellplaetze,zusatzbeleuchtung,bike_and_ride,doppelstock,status,geplant,lastenrad,standort,standortnummer,typ_generalisiert,ueberdacht,zeitl_begrenzung,status_bedeutung,shape
opendata_ruhver_fahrradparken_line.583,12,Nein,Ja,Nein,2,,Nein,Pertisaustr. 39,610,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695022.0740009143 5333020.40899774, 695022.4040009143 5333023.764997741))"
opendata_ruhver_fahrradparken_line.584,20,Nein,Ja,Nein,2,,Nein,Bad-Schachener-Str. 50,611,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695101.2020009161 5333017.064997736, 695104.9430009162 5333012.544997733), (695105.6550009162 5333012.572997734, 695114.8750009167 5333012.155997734))"
opendata_ruhver_fahrradparken_line.585,15,Nein,Ja,Nein,2,,Nein,Echardinger Str. 73,612,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695087.5040009158 5332970.896997735, 695096.3360009161 5332970.527997735))"
opendata_ruhver_fahrradparken_line.586,9,Nein,Ja,Nein,2,,Nein,Bad-Schachener-Str. 38,613,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694962.283000913 5332966.645997745, 694965.034000913 5332974.270997743))"
opendata_ruhver_fahrradparken_line.587,14,Nein,Ja,Nein,2,,Nein,Bad-Schachener-Str. 38,614,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694962.539000913 5332976.005997744, 694963.8810009132 5332979.780997745))"
opendata_ruhver_fahrradparken_line.588,24,Nein,Ja,Nein,2,,Nein,Institutstr. 1,615,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((682866.4910006634 5335471.03499845, 682872.2480006636 5335470.50599845), (682888.1930006638 5335469.3419984495, 682892.7250006638 5335468.95499845), (682894.7010006639 5335468.938998449, 682897.1590006639 5335468.658998448))"
opendata_ruhver_fahrradparken_line.589,32,Nein,Nein,Nein,2,,Nein,Herzog-Max-Str. 4,543,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691008.0010008244 5334986.426998008, 691016.1670008246 5334997.191998008))"
opendata_ruhver_fahrradparken_line.590,28,Nein,Nein,Nein,2,,Nein,Herzog-Wilhelm-Str. 1,549,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690956.0450008233 5334868.246998013, 690953.8220008233 5334853.983998013))"
opendata_ruhver_fahrradparken_line.591,12,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 13,550,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691022.693000824 5337634.6319980025, 691013.3410008239 5337635.516998002))"
opendata_ruhver_fahrradparken_line.592,17,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 13,551,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691031.6590008243 5337639.867998001, 691033.5670008245 5337649.931998002))"
opendata_ruhver_fahrradparken_line.593,14,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 16,552,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691044.2660008246 5337640.588998001, 691043.5130008246 5337636.8069980005))"
opendata_ruhver_fahrradparken_line.594,15,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 18,553,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691046.8930008247 5337640.786998, 691049.0540008247 5337650.877997999))"
opendata_ruhver_fahrradparken_line.595,17,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 14,555,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691056.6400008249 5337618.935998001, 691047.1570008246 5337619.788998))"
opendata_ruhver_fahrradparken_line.596,12,Nein,Ja,Nein,2,,Nein,Herzogstr. 105,556,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691010.228000824 5337623.127998002, 691017.140000824 5337622.618998002))"
opendata_ruhver_fahrradparken_line.597,39,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 20,557,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691050.3220008247 5337666.715998, 691051.1820008247 5337670.3069980005), (691051.7230008249 5337673.552998001, 691054.1420008248 5337685.654998001))"
opendata_ruhver_fahrradparken_line.598,12,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 3,558,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690998.1950008236 5337509.027998005, 690997.3140008237 5337505.495998005))"
opendata_ruhver_fahrradparken_line.599,17,Nein,Ja,Nein,2,,Nein,Georg-Heberer-Str. 2,697,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((684191.3950006884 5331410.864998394, 684200.2250006885 5331416.284998394))"
opendata_ruhver_fahrradparken_line.600,6,Nein,Ja,Nein,2,,Nein,Georg-Heberer-Str. 2,698,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((684197.9660006887 5331432.921998393, 684200.8610006887 5331428.574998393))"
opendata_ruhver_fahrradparken_line.601,15,Nein,Ja,Nein,4,,Nein,Georg-Heberer-Str. 10,699,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((684224.6660006889 5331436.552998392, 684225.973000689 5331428.94099839))"
opendata_ruhver_fahrradparken_line.602,40,Nein,Ja,Nein,4,,Nein,Georg-Heberer-Str. 12,700,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((684229.335000689 5331438.078998392, 684231.075000689 5331428.36099839))"
opendata_ruhver_fahrradparken_line.603,28,Nein,Ja,Nein,4,,Nein,Georg-Heberer-Str. 12,701,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((684235.3660006892 5331439.05599839, 684236.6340006891 5331431.920998391))"
opendata_ruhver_fahrradparken_line.604,18,Nein,Ja,Nein,4,,Nein,Georg-Heberer-Str. 16,702,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((684241.1850006892 5331440.398998389, 684242.0180006893 5331435.95899839))"
opendata_ruhver_fahrradparken_line.605,8,Nein,Nein,Nein,4,,Nein,Georg-Heberer-Str. 16,703,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((684246.1120006893 5331441.357998391, 684246.9130006894 5331436.681998391))"
opendata_ruhver_fahrradparken_line.606,8,Nein,Ja,Nein,2,,Nein,Königspl. 2,704,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690683.8180008172 5335691.6589980265, 690681.6470008172 5335686.047998028))"
opendata_ruhver_fahrradparken_line.607,30,Nein,Ja,Nein,4,,Nein,Luisenstr. 33,705,Anlehnbügel,Nein,,abgebaut,"MULTILINESTRING ((690736.4040008184 5335783.220998025, 690732.3210008193 5335772.785998024))"
opendata_ruhver_fahrradparken_line.608,13,Nein,Ja,Nein,4,,Nein,Luisenstr. 14,706,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((690604.0410008156 5335496.403998032, 690611.0170008157 5335493.7689980315))"
opendata_ruhver_fahrradparken_line.609,12,Nein,Nein,Nein,4,,Nein,Palmstr. 3,707,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((691167.3340008281 5333469.356998001, 691168.9250008281 5333470.832998), (691169.9320008282 5333471.186998, 691172.3570008283 5333471.439998003))"
opendata_ruhver_fahrradparken_line.610,16,Nein,Ja,Nein,2,,Nein,Kolumbusstr. 40,708,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691758.220000841 5332768.428997964, 691767.2250008411 5332770.465997965))"
opendata_ruhver_fahrradparken_line.611,8,Nein,Ja,Nein,2,,Nein,Kolumbusstr. 33,709,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691776.5410008414 5332772.447997963, 691772.1120008413 5332771.493997965))"
opendata_ruhver_fahrradparken_line.612,8,Nein,Ja,Nein,2,,Nein,Humboldtstr. 42,710,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691749.3130008407 5332727.905997966, 691747.1200008409 5332724.024997966))"
opendata_ruhver_fahrradparken_line.613,12,Nein,Ja,Nein,2,,Nein,Humboldtstr. 42,711,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691746.3570008407 5332723.547997966, 691739.8720008405 5332726.642997966))"
opendata_ruhver_fahrradparken_line.614,17,Nein,Ja,Nein,2,,Nein,Humboldtstr. 42,712,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691743.3750008408 5332702.214997967, 691752.939000841 5332701.251997965))"
opendata_ruhver_fahrradparken_line.615,7,Nein,Ja,Nein,2,,Nein,Plattnerstr. 1,713,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691734.4710008404 5332705.291997966, 691735.7770008405 5332702.364997967))"
opendata_ruhver_fahrradparken_line.616,6,Nein,Ja,Nein,2,,Nein,Edlingerpl. 4,714,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691715.5370008403 5332918.9349979665, 691714.8630008401 5332922.301997967))"
opendata_ruhver_fahrradparken_line.617,14,Nein,Ja,Nein,2,,Nein,Falkenstr. 52,715,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691732.9590008403 5332938.6509979665, 691734.6110008404 5332930.675997966))"
opendata_ruhver_fahrradparken_line.618,18,Nein,Ja,Nein,2,,Nein,Entenbachstr. 50,716,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691723.1530008402 5332980.104997966, 691725.5660008403 5332967.840997966))"
opendata_ruhver_fahrradparken_line.619,13,Nein,Ja,Nein,2,,Nein,Falkenstr. 47,717,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691755.901200841 5332893.547397965, 691762.377700841 5332895.165097963))"
opendata_ruhver_fahrradparken_line.620,10,Nein,Ja,Nein,2,,Nein,Kolumbusstr. 25,718,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691773.1020008413 5332916.965997963, 691774.7770008413 5332910.742997963))"
opendata_ruhver_fahrradparken_line.621,16,Nein,Ja,Nein,2,,Nein,Edlingerpl. 3,719,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691720.3810008402 5332887.606997967, 691711.3530008399 5332885.334997968))"
opendata_ruhver_fahrradparken_line.622,7,Nein,Ja,Nein,2,,Nein,Erich-Kästner-Str. 3,559,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691004.2140008238 5337504.424998003, 691005.1790008238 5337508.115998004))"
opendata_ruhver_fahrradparken_line.623,7,Nein,Ja,Nein,2,,Nein,Hohenzollernpl. 1,561,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690981.2950008232 5337428.596998005, 690982.2710008232 5337433.349998004))"
opendata_ruhver_fahrradparken_line.624,9,Nein,Ja,Nein,2,,Nein,Hohenzollernpl. 8,562,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690983.2030008232 5337434.474998006, 690989.4750008235 5337433.275998005))"
opendata_ruhver_fahrradparken_line.625,4,Nein,Ja,Nein,2,,Nein,Hohenzollernpl. 8,563,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690989.7120008236 5337429.858998006, 690990.1410008234 5337432.031998005))"
opendata_ruhver_fahrradparken_line.626,8,Nein,Ja,Nein,2,,Nein,Hohenzollernpl. 8,564,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690992.0610008235 5337429.883998005, 690993.0240008234 5337425.140998005))"
opendata_ruhver_fahrradparken_line.627,28,Nein,Ja,Nein,2,,Nein,Hohenzollernpl. 8,565,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691007.4300008238 5337437.538998005, 691008.7100008237 5337430.362998003))"
opendata_ruhver_fahrradparken_line.628,20,Nein,Ja,Nein,2,,Nein,Hohenzollernpl. 7,566,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691010.0530008238 5337469.117998004, 691021.190000824 5337468.990998004))"
opendata_ruhver_fahrradparken_line.629,12,Nein,Ja,Nein,2,,Nein,Fürstenrieder Str. 61,751,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686256.0610007273 5334393.185998284, 686263.0080007275 5334393.337998283))"
opendata_ruhver_fahrradparken_line.630,14,Nein,Ja,Nein,2,,Nein,Fürstenrieder Str. 61,752,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686265.7190007275 5334393.326998283, 686272.4230007277 5334393.589998283))"
opendata_ruhver_fahrradparken_line.631,12,Nein,Ja,Nein,2,,Nein,Fürstenrieder Str. 61,753,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686275.1330007277 5334393.5789982835, 686281.3720007277 5334393.705998284))"
opendata_ruhver_fahrradparken_line.632,8,Nein,Ja,Nein,2,,Nein,Gotthardstr. 49,755,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686258.4900007272 5334367.123998284, 686253.1870007273 5334367.152998284))"
opendata_ruhver_fahrradparken_line.633,8,Nein,Ja,Nein,2,,Nein,Gotthardstr. 49,754,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686266.8470007275 5334367.330998284, 686260.9610007274 5334367.219998283))"
opendata_ruhver_fahrradparken_line.634,4,Nein,Ja,Nein,2,,Nein,Gotthardstr. 49,756,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686251.0700007271 5334367.070998285, 686245.0650007271 5334366.9549982855))"
opendata_ruhver_fahrradparken_line.635,15,Nein,Ja,Nein,4,,Nein,Fürstenrieder Str. 63,757,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((686233.9990007267 5334354.797998287, 686234.0510007268 5334346.489998285))"
opendata_ruhver_fahrradparken_line.636,22,Nein,Ja,Nein,2,,Nein,Gotthardstr. 53,758,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686185.8350007259 5334372.993998287, 686185.942000726 5334367.224998287), (686182.1420007257 5334372.934998287, 686182.181000726 5334366.959998287))"
opendata_ruhver_fahrradparken_line.637,6,Nein,Ja,Nein,2,,Nein,Wimpfener Str. 26,743,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686053.2950007233 5334398.146998295, 686053.1440007233 5334395.223998295))"
opendata_ruhver_fahrradparken_line.638,28,Nein,Ja,Nein,2,,Nein,Wimpfener Str. 26,744,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686058.3790007235 5334410.455998294, 686058.4750007235 5334403.476998294), (686061.5600007237 5334410.491998294, 686061.5750007235 5334403.332998294))"
opendata_ruhver_fahrradparken_line.639,8,Nein,Ja,Nein,4,,Nein,Gotthardstr. 50,745,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((686074.9850007237 5334392.957998293, 686070.1390007236 5334393.356998294))"
opendata_ruhver_fahrradparken_line.640,9,Nein,Ja,Nein,4,,Nein,Gotthardstr. 50,746,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((686077.931000724 5334392.954998294, 686083.238000724 5334392.807998293))"
opendata_ruhver_fahrradparken_line.641,20,Nein,Ja,Nein,2,,Nein,Nymphenburger Str. 94,804,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((689217.7970007864 5336147.6569981165, 689228.4430007866 5336144.889998114))"
opendata_ruhver_fahrradparken_line.642,30,Nein,Ja,Nein,2,,Nein,Lazarettstr. 1 a,805,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((689264.9070007874 5336165.995998113, 689269.7050007875 5336184.357998113))"
opendata_ruhver_fahrradparken_line.643,6,Nein,Ja,Nein,4,,Nein,Nymphenburger Str. 81,806,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((689224.8480007865 5336121.883998116, 689228.2720007867 5336121.033998115))"
opendata_ruhver_fahrradparken_line.644,6,Nein,Ja,Nein,4,,Nein,Nymphenburger Str. 69,807,Vorderradhalter,Nein,,abgebaut,"MULTILINESTRING ((689427.3730007908 5336069.067998105, 689430.7070007909 5336068.114998104))"
opendata_ruhver_fahrradparken_line.645,24,Nein,Ja,Nein,2,,Nein,Gotthardstr. 53,759,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686178.5360007257 5334372.866998288, 686178.6090007258 5334366.855998289), (686174.4640007257 5334372.769998289, 686174.4880007256 5334366.782998289))"
opendata_ruhver_fahrradparken_line.646,10,Nein,Ja,Nein,2,,Nein,Joergstr. 1,760,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686163.8510007255 5334372.596998289, 686163.9330007255 5334366.634998291), (686160.7610007254 5334372.499998288, 686160.7840007255 5334366.62599829))"
opendata_ruhver_fahrradparken_line.647,10,Nein,Ja,Nein,2,,Nein,Gotthardstr. 61,761,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686050.1010007233 5334366.858998295, 686050.2340007233 5334371.620998295))"
opendata_ruhver_fahrradparken_line.648,12,Nein,Ja,Nein,2,,Nein,Gotthardstr. 61,762,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686052.4160007234 5334376.803998294, 686052.3100007235 5334374.414998296), (686049.1560007231 5334377.1409982955, 686048.9790007233 5334374.880998296))"
opendata_ruhver_fahrradparken_line.649,12,Nein,Ja,Nein,2,,Nein,Gotthardstr. 61,763,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686044.5830007233 5334377.161998294, 686044.5270007232 5334375.170998296), (686041.195000723 5334377.360998294, 686041.0130007231 5334375.232998295))"
opendata_ruhver_fahrradparken_line.650,14,Nein,Ja,Nein,2,,Nein,Gotthardstr. 63,764,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686036.6040007231 5334377.844998296, 686036.4980007231 5334375.454998296), (686033.021000723 5334377.9709982965, 686032.770000723 5334374.182998296))"
opendata_ruhver_fahrradparken_line.651,12,Nein,Ja,Nein,2,,Nein,Wimpfener Str. 26,741,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686043.2440007231 5334390.859998296, 686042.994000723 5334388.198998295), (686046.8710007232 5334390.736998294, 686046.6280007232 5334387.898998295))"
opendata_ruhver_fahrradparken_line.652,12,Nein,Ja,Nein,2,,Nein,Wimpfener Str. 26,742,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686051.0270007232 5334390.633998296, 686050.7810007232 5334387.883998294), (686054.8130007234 5334390.957998294, 686054.5910007233 5334387.590998295))"
opendata_ruhver_fahrradparken_line.653,5,Nein,Ja,Nein,4,,Nein,Ehrwalder Str. 89,577,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((686256.8600007276 5332243.079998287, 686259.6920007278 5332243.189998286))"
opendata_ruhver_fahrradparken_line.654,14,Nein,Ja,Nein,4,,Nein,Ehrwalder Str. 89,578,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((686260.3930007278 5332232.518998289, 686260.2490007277 5332242.321998287))"
opendata_ruhver_fahrradparken_line.655,16,Nein,Ja,Nein,4,,Nein,Fürstenrieder Str. 260,579,Rahmenhalter,Nein,,abgebaut,"MULTILINESTRING ((686225.2340007271 5332227.17999829, 686224.969000727 5332238.106998287))"
opendata_ruhver_fahrradparken_line.656,17,Nein,Ja,Nein,2,,Nein,Fürstenrieder Str. 256,580,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686227.4840007273 5332304.238998288, 686227.6310007272 5332294.279998288))"
opendata_ruhver_fahrradparken_line.657,8,Nein,Ja,Nein,2,,Nein,Fürstenrieder Str. 256,581,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686227.6040007271 5332292.901998287, 686227.701000727 5332288.369998289))"
opendata_ruhver_fahrradparken_line.658,21,Nein,Ja,Nein,2,,Nein,Neufriedenheimer Str. 70,582,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686157.0300007258 5332179.810998292, 686157.5300007259 5332192.733998292))"
opendata_ruhver_fahrradparken_line.659,21,Nein,Ja,Nein,2,,Nein,Neufriedenheimer Str. 53,583,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686157.6990007256 5332203.336998293, 686157.8030007257 5332216.156998293))"
opendata_ruhver_fahrradparken_line.660,6,Nein,Ja,Nein,2,,Nein,Guardinistr. 6,584,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686122.955400725 5332262.563898294, 686126.8409007251 5332262.143698294))"
opendata_ruhver_fahrradparken_line.661,6,Nein,Nein,Nein,2,,Nein,Nothkaufstr. 9,586,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((686081.9780007242 5332266.322998296, 686085.6470007242 5332266.122998296))"
opendata_ruhver_fahrradparken_line.662,10,Nein,Ja,Nein,2,,Nein,Augustenstr. 116,637,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690890.1310008215 5336691.435998013, 690888.2370008213 5336686.384998012))"
opendata_ruhver_fahrradparken_line.663,6,Nein,Ja,Nein,2,,Nein,Augustenstr. 114,638,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690881.4860008212 5336670.849998013, 690882.8760008214 5336674.417998013))"
opendata_ruhver_fahrradparken_line.664,7,Nein,Ja,Nein,2,,Nein,Augustenstr. 119,639,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690857.4970008217 5336677.996998015, 690858.9720008208 5336681.745998016))"
opendata_ruhver_fahrradparken_line.665,33,Nein,Ja,Nein,2,,Nein,Georgenstr. 85,640,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690941.4520008226 5336909.674998008, 690959.4040008228 5336910.188998009))"
opendata_ruhver_fahrradparken_line.666,11,Nein,Ja,Nein,2,,Nein,Adelheidstr. 12,641,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690929.3090008222 5336903.61299801, 690928.6690008222 5336897.714998009))"
opendata_ruhver_fahrradparken_line.667,4,Nein,Ja,Nein,2,,Nein,Adelheidstr. 12,642,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690928.4210008222 5336884.738998009, 690930.5850008223 5336884.416998009))"
opendata_ruhver_fahrradparken_line.668,7,Nein,Ja,Nein,2,,Nein,Adelheidstr. 12,643,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690930.3390008222 5336880.278998011, 690934.3040008222 5336879.967998012))"
opendata_ruhver_fahrradparken_line.669,11,Nein,Ja,Nein,2,,Nein,Adelheidstr. 12,644,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690923.7290008223 5336897.696998009, 690924.4250008223 5336903.65499801))"
opendata_ruhver_fahrradparken_line.670,33,Nein,Ja,Nein,2,,Nein,Adelheidstr. 11,645,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((690896.7810008215 5336909.4369980125, 690914.8050008222 5336909.442998012))"
opendata_ruhver_fahrradparken_line.671,6,Nein,Ja,Nein,2,,Nein,Kaflerstr. 2,646,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((682973.3640006651 5335808.713998445, 682976.7210006653 5335807.343998444))"
opendata_ruhver_fahrradparken_line.672,6,Nein,Ja,Nein,2,,Nein,Kaflerstr. 8,647,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((682937.6640006646 5335825.445998447, 682934.4980006645 5335827.024998447))"
opendata_ruhver_fahrradparken_line.673,6,Nein,Ja,Nein,2,,Nein,Kaflerstr. 8,648,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((682921.7480006644 5335832.9369984465, 682925.0100006644 5335831.461998448))"
opendata_ruhver_fahrradparken_line.674,14,Nein,Ja,Nein,2,,Nein,Georg-Heberer-Str. 2,696,Rahmenhalter,Ja,,in Bestand / in Betrieb,"MULTILINESTRING ((684199.0730006886 5331407.694998392, 684205.7060006887 5331412.287998392))"
opendata_ruhver_fahrradparken_line.675,15,Nein,Ja,Nein,2,,Nein,Thomas-Dehler-Str. 10,986,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((696965.3580009607 5330942.239997598, 696955.3210009617 5330940.9859976))"
opendata_ruhver_fahrradparken_line.676,6,Nein,Ja,Nein,2,,Nein,Heimeranpl. 3,533,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688553.2570007731 5334245.056998158, 688556.7390007733 5334246.335998157))"
opendata_ruhver_fahrradparken_line.677,8,Nein,Ja,Nein,2,,Nein,Heimeranpl. 3,534,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688546.5360007731 5334241.02999816, 688550.7640007731 5334242.463998158))"
opendata_ruhver_fahrradparken_line.678,8,Nein,Ja,Nein,2,,Nein,Heimeranpl. 5,535,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688541.763000773 5334237.403998157, 688544.3160007729 5334240.782998159))"
opendata_ruhver_fahrradparken_line.679,8,Nein,Ja,Nein,2,,Nein,Heimeranpl. 5,536,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688536.8490007728 5334230.852998157, 688539.3020007729 5334234.227998159))"
opendata_ruhver_fahrradparken_line.680,4,Nein,Ja,Nein,2,,Nein,Garmischer Str. 8,537,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688462.9030007713 5334229.027998162, 688464.7630007714 5334227.715998162))"
opendata_ruhver_fahrradparken_line.681,12,Nein,Nein,Nein,2,,Nein,Helene-Weber-Allee 1,538,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((689262.8770007871 5337474.492998111, 689258.137000787 5337478.29299811))"
opendata_ruhver_fahrradparken_line.682,12,Nein,Nein,Nein,2,,Nein,Helene-Weber-Allee 1,539,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((689280.5180007877 5337459.76299811, 689285.2580007876 5337455.963998109))"
opendata_ruhver_fahrradparken_line.683,9,Nein,Ja,Nein,2,,Nein,Oberföhringer Str. 2,540,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((694068.3580008916 5336342.281997801, 694066.8690008916 5336342.429997802, 694065.6940008915 5336342.682997801, 694064.5200008915 5336343.538997802, 694061.3880008914 5336346.468997802))"
opendata_ruhver_fahrradparken_line.684,28,Nein,Nein,Nein,2,,Nein,Herrnstr. 17,541,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((692115.4820008483 5334669.032997938, 692113.9240008483 5334670.473997938), (692112.4640008484 5334671.653997938, 692106.5970008482 5334677.078997938), (692105.2220008483 5334678.351997939, 692102.7460008481 5334680.641997938))"
opendata_ruhver_fahrradparken_line.685,12,Nein,Ja,Nein,2,,Nein,Herterichstr. 41,542,Vorderradhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((687615.4540007553 5327847.47299822, 687621.3390007555 5327848.230998221))"
