FID,objectid,objekt,bezeichnung,bemerkung,shape
opendata_trinkwasserbrunnen.64,666,Trinkbrunnen,"WC-Anlage	Stösserstr. Ost, Goldschmiedplatz",Trinkwasserspender,POINT (690317.9192008079 5343856.665498035)
opendata_trinkwasserbrunnen.65,667,Trinkbrunnen,WC-Anlage	Plinganserstr. Ecke Brudermühlstr.,Trinkwasserspender,POINT (689208.7503007869 5331919.6375981225)
opendata_trinkwasserbrunnen.66,673,Trinkbrunnen,"WC-Anlage	Hypopark, Elsässer Str.",Trinkwasserspender,POINT (693806.8749008863 5334309.469397824)
opendata_trinkwasserbrunnen.67,674,Trinkbrunnen,WC-Anlage	Eduard-Schmid-Str 36,Trinkwasserspender,POINT (691457.7532008344 5333265.406197983)
opendata_trinkwasserbrunnen.68,675,Trinkbrunnen,WC-Anlage	Partnachplatz,Trinkwasserspender,POINT (688016.6116007625 5332370.600698193)
opendata_trinkwasserbrunnen.69,676,Trinkbrunnen,"WC-Anlage	""Flaucher/ Tierparkparkplatz""",Trinkwasserspender,POINT (690056.2719008051 5330750.681698075)
opendata_trinkwasserbrunnen.70,645,Trinkbrunnen,Trinkwasserspender,,POINT (690917.1236008224 5334967.444698015)
opendata_trinkwasserbrunnen.71,646,Trinkbrunnen,Trinkwasserspender,,POINT (689018.1383007831 5332456.212498135)
opendata_trinkwasserbrunnen.72,1283,Trinkbrunnen,Trinkwasserspender WC-Anlage Arnulfpark,an Außenfassade,POINT (689095.180600784 5335337.2125981245)
opendata_trinkwasserbrunnen.73,1284,Trinkbrunnen,Trinkwasserstele ,Bavariaring,POINT (689969.5613008024 5334136.946598074)
opendata_trinkwasserbrunnen.74,1285,Trinkbrunnen,Trinkwasserstele,"Gollierplatz, Spielplatz",POINT (688608.1601007741 5334545.756198155)
opendata_trinkwasserbrunnen.75,1922,Trinkbrunnen,Trinkwasserbrunnen,Heckenstaller Park,POINT (688233.355900767 5331635.793598182)
opendata_trinkwasserbrunnen.76,2241,Trinkbrunnen,Trinkwasserspender Rosenkavalierplatz,,POINT (694872.28650091 5336536.496997744)
opendata_trinkwasserbrunnen.77,659,Trinkbrunnen,WC-Anlage	Walchenseeplatz,Trinkwasserspender,POINT (692281.0186008526 5332013.644397932)
opendata_trinkwasserbrunnen.78,660,Trinkbrunnen,WC-Anlage	Im Gefilde,Trinkwasserspender,POINT (698005.8233009863 5329824.001897519)
